Generation,TotalEnergy_J,AverageDelay_Hops,MinResidual_J
264,0.01835082929475032,1.55,1.9976796752144617
265,0.01835082929475032,1.55,1.9976796752144617
266,0.01835082929475032,1.55,1.9976796752144617
267,0.01835082929475032,1.55,1.9976796752144617
268,0.01835082929475032,1.55,1.9976796752144617
269,0.01835082929475032,1.55,1.9976796752144617
270,0.01835082929475032,1.55,1.9976796752144617
271,0.01835082929475032,1.55,1.9976796752144617
272,0.01835082929475032,1.55,1.9976796752144617
273,0.01835082929475032,1.55,1.9976796752144617
274,0.01835082929475032,1.55,1.9976796752144617
275,0.01835082929475032,1.55,1.9976796752144617
276,0.01835082929475032,1.55,1.9976796752144617
277,0.01835082929475032,1.55,1.9976796752144617
278,0.01835082929475032,1.55,1.9976796752144617
279,0.01835082929475032,1.55,1.9976796752144617
280,0.01835082929475032,1.55,1.9976796752144617
281,0.01835082929475032,1.55,1.9976796752144617
282,0.01835082929475032,1.55,1.9976796752144617
283,0.01835082929475032,1.55,1.9976796752144617
284,0.01835082929475032,1.55,1.9976796752144617
285,0.01835082929475032,1.55,1.9976796752144617
286,0.01835082929475032,1.55,1.9976796752144617
287,0.01835082929475032,1.55,1.9976796752144617
288,0.01835082929475032,1.55,1.9976796752144617
289,0.01835082929475032,1.55,1.9976796752144617
290,0.01835082929475032,1.55,1.9976796752144617
291,0.01835082929475032,1.55,1.9976796752144617
292,0.01835082929475032,1.55,1.9976796752144617
293,0.01835082929475032,1.55,1.9976796752144617
294,0.01835082929475032,1.55,1.9976796752144617
295,0.01835082929475032,1.55,1.9976796752144617
296,0.01835082929475032,1.55,1.9976796752144617
297,0.01835082929475032,1.55,1.9976796752144617
298,0.01835082929475032,1.55,1.9976796752144617
299,0.01835082929475032,1.55,1.9976796752144617
300,0.01835082929475032,1.55,1.9976796752144617
301,0.01835082929475032,1.55,1.9976796752144617
302,0.01835082929475032,1.55,1.9976796752144617
303,0.01835082929475032,1.55,1.9976796752144617
304,0.01835082929475032,1.55,1.9976796752144617
305,0.01835082929475032,1.55,1.9976796752144617
306,0.01835082929475032,1.55,1.9976796752144617
307,0.01835082929475032,1.55,1.9976796752144617
308,0.01835082929475032,1.55,1.9976796752144617
309,0.01835082929475032,1.55,1.9976796752144617
310,0.01835082929475032,1.55,1.9976796752144617
311,0.01835082929475032,1.55,1.9976796752144617
312,0.01835082929475032,1.55,1.9976796752144617
313,0.01835082929475032,1.55,1.9976796752144617
314,0.01835082929475032,1.55,1.9976796752144617
315,0.01835082929475032,1.55,1.9976796752144617
316,0.01835082929475032,1.55,1.9976796752144617
317,0.01835082929475032,1.55,1.9976796752144617
318,0.01835082929475032,1.55,1.9976796752144617
319,0.01835082929475032,1.55,1.9976796752144617
320,0.01835082929475032,1.55,1.9976796752144617
321,0.01835082929475032,1.55,1.9976796752144617
322,0.01835082929475032,1.55,1.9976796752144617
323,0.01835082929475032,1.55,1.9976796752144617
324,0.01835082929475032,1.55,1.9976796752144617
325,0.01835082929475032,1.55,1.9976796752144617
326,0.01835082929475032,1.55,1.9976796752144617
327,0.01835082929475032,1.55,1.9976796752144617
328,0.01835082929475032,1.55,1.9976796752144617
329,0.01835082929475032,1.55,1.9976796752144617
330,0.01835082929475032,1.55,1.9976796752144617
331,0.01835082929475032,1.55,1.9976796752144617
332,0.01835082929475032,1.55,1.9976796752144617
333,0.01835082929475032,1.55,1.9976796752144617
334,0.01835082929475032,1.55,1.9976796752144617
335,0.01835082929475032,1.55,1.9976796752144617
336,0.01835082929475032,1.55,1.9976796752144617
337,0.01835082929475032,1.55,1.9976796752144617
