Generation,MaxFitness,AvgFitness,Diversity,TotalEnergy_J,AvgDelay_Hops,MinResidual_J
104,0.8721446435459591,0.8717795071517842,0.3174478114478115,0.02070231604079338,1.6916666666666667,1.997259357216934
105,0.8721446435459591,0.8718280515841546,0.30780471380471386,0.02070231604079338,1.6916666666666667,1.997259357216934
106,0.8721446435459591,0.8717940012909957,0.3285589225589226,0.02070231604079338,1.6916666666666667,1.997259357216934
107,0.8721446435459591,0.8718250195614091,0.3006868686868686,0.02070231604079338,1.6916666666666667,1.997259357216934
108,0.8721457130402858,0.8717852520046935,0.3316632996632997,0.02070196669289808,1.6916666666666667,1.997259357216934
109,0.8721457160126097,0.8718634687152296,0.3130505050505051,0.020701965707252287,1.6916666666666667,1.997259357216934
110,0.8721457160126097,0.8718148060920953,0.3293400673400673,0.020701965707252287,1.6916666666666667,1.997259357216934
111,0.8721457160126097,0.8717927370837283,0.33628282828282824,0.020701965707252287,1.6916666666666667,1.997259357216934
112,0.8721457160126097,0.8717583449053987,0.3767474747474749,0.020701965707252287,1.6916666666666667,1.997259357216934
113,0.8721457160126097,0.871833957056341,0.35107070707070703,0.020701965707252287,1.6916666666666667,1.997259357216934
114,0.8721989074957345,0.8717712655358415,0.3553535353535354,0.020688987015552364,1.6908333333333332,1.997259357216934
115,0.8721989074957345,0.8718321372099657,0.2985454545454545,0.020688987015552364,1.6908333333333332,1.997259357216934
116,0.8721989074957345,0.871813559165089,0.33847811447811454,0.020688987015552364,1.6908333333333332,1.997259357216934
117,0.8721989074957345,0.8718482968659295,0.3195824915824916,0.020688987015552364,1.6908333333333332,1.997259357216934
118,0.8721989702901998,0.8718447152616219,0.34175084175084186,0.020688966435203578,1.6908333333333332,1.997259357216934
119,0.8721990275374208,0.8718825702057259,0.32532659932659924,0.020688946889836073,1.6908333333333332,1.997259357216934
120,0.8721995648793488,0.8718474420226056,0.32519191919191914,0.020688774003633337,1.6908333333333332,1.997259357216934
121,0.8721995648793488,0.8719266261754565,0.31995286195286193,0.020688774003633337,1.6908333333333332,1.997259357216934
122,0.8721995648793488,0.8718610967013084,0.35465319865319866,0.020688774003633337,1.6908333333333332,1.997259357216934
123,0.8721995648793488,0.8718759350064372,0.3296094276094276,0.020688774003633337,1.6908333333333332,1.997259357216934
124,0.8721995648793488,0.8718521770232931,0.3218181818181817,0.020688774003633337,1.6908333333333332,1.997259357216934
125,0.8721995648793488,0.8719131028705659,0.30422895622895624,0.020688774003633337,1.6908333333333332,1.997259357216934
126,0.8721995648793488,0.8718876223539265,0.31447811447811447,0.020688774003633337,1.6908333333333332,1.997259357216934
127,0.8721995648793488,0.8719130010807348,0.31569696969696964,0.020688774003633337,1.6908333333333332,1.997259357216934
128,0.8721995648793488,0.8719177866659005,0.2893063973063973,0.020688774003633337,1.6908333333333332,1.997259357216934
129,0.8721995648793488,0.8718188223310557,0.3405521885521885,0.020688774003633337,1.6908333333333332,1.997259357216934
130,0.8721995648793488,0.871898787488835,0.30651178451178457,0.020688774003633337,1.6908333333333332,1.997259357216934
131,0.8721995648793488,0.8719105080162719,0.28940067340067344,0.020688774003633337,1.6908333333333332,1.997259357216934
132,0.8721995648793488,0.871867102183369,0.302026936026936,0.020688774003633337,1.6908333333333332,1.997259357216934
133,0.8721995648793488,0.8718650789616721,0.3074074074074073,0.020688774003633337,1.6908333333333332,1.997259357216934
134,0.8721995648793488,0.8718601040086457,0.3085925925925926,0.020688774003633337,1.6908333333333332,1.997259357216934
135,0.8721995648793488,0.8718623027013612,0.3398181818181818,0.020688774003633337,1.6908333333333332,1.997259357216934
136,0.8721995648793488,0.8718714562300567,0.3217912457912458,0.020688774003633337,1.6908333333333332,1.997259357216934
137,0.8721995648793488,0.8718555862478835,0.3271784511784511,0.020688774003633337,1.6908333333333332,1.997259357216934
138,0.8721995648793488,0.8718993821072346,0.29061952861952867,0.020688774003633337,1.6908333333333332,1.997259357216934
139,0.8721995648793488,0.8718533340900624,0.34038383838383834,0.020688774003633337,1.6908333333333332,1.997259357216934
140,0.8721995648793488,0.8718856080670793,0.32193939393939386,0.020688774003633337,1.6908333333333332,1.997259357216934
141,0.8721995648793488,0.8718376568393985,0.2973939393939394,0.020688774003633337,1.6908333333333332,1.997259357216934
142,0.8721995648793488,0.8718882560936879,0.3052727272727272,0.020688774003633337,1.6908333333333332,1.997259357216934
143,0.8721995648793488,0.8718847273036753,0.3065656565656566,0.020688774003633337,1.6908333333333332,1.997259357216934
144,0.8721995648793488,0.8718726493670927,0.3152255892255892,0.020688774003633337,1.6908333333333332,1.997259357216934
145,0.8721995648793488,0.8718909900521646,0.3105791245791246,0.020688774003633337,1.6908333333333332,1.997259357216934
146,0.8721995648793488,0.8718630338137033,0.3118383838383838,0.020688774003633337,1.6908333333333332,1.997259357216934
147,0.8721995648793488,0.8718694024613014,0.3204915824915825,0.020688774003633337,1.6908333333333332,1.997259357216934
148,0.8721995648793488,0.8719039843937778,0.2999528619528619,0.020688774003633337,1.6908333333333332,1.997259357216934
149,0.8721995648793488,0.8718838368482091,0.30391245791245786,0.020688774003633337,1.6908333333333332,1.997259357216934
150,0.8721995648793488,0.8718524018962416,0.29923232323232324,0.020688774003633337,1.6908333333333332,1.997259357216934
151,0.8721995648793488,0.8718536545025195,0.3145454545454546,0.020688774003633337,1.6908333333333332,1.997259357216934
152,0.8721995648793488,0.8719015669333202,0.3025993265993266,0.020688774003633337,1.6908333333333332,1.997259357216934
153,0.8721995648793488,0.8718666568393311,0.30404040404040406,0.020688774003633337,1.6908333333333332,1.997259357216934
154,0.8721995648793488,0.8718618915640989,0.303952861952862,0.020688774003633337,1.6908333333333332,1.997259357216934
155,0.8721995648793488,0.8718704006693941,0.30189225589225593,0.020688774003633337,1.6908333333333332,1.997259357216934
156,0.8721995648793488,0.8718966000433698,0.30719191919191924,0.020688774003633337,1.6908333333333332,1.997259357216934
157,0.8721995648793488,0.8718317187806985,0.3232592592592593,0.020688774003633337,1.6908333333333332,1.997259357216934
158,0.8721995648793488,0.8718610441891632,0.32447138047138047,0.020688774003633337,1.6908333333333332,1.997259357216934
159,0.8721995648793488,0.8719049095350151,0.3005656565656566,0.020688774003633337,1.6908333333333332,1.997259357216934
160,0.8721995648793488,0.8718773329800161,0.3032592592592593,0.020688774003633337,1.6908333333333332,1.997259357216934
161,0.8721995648793488,0.8718822961239783,0.30987205387205385,0.020688774003633337,1.6908333333333332,1.997259357216934
162,0.8721995648793488,0.8718995344176999,0.29783838383838385,0.020688774003633337,1.6908333333333332,1.997259357216934
